batch i:1, episode_len:16
batch i:2, episode_len:9
batch i:3, episode_len:21
batch i:4, episode_len:24
batch i:5, episode_len:19
batch i:6, episode_len:20
batch i:7, episode_len:28
batch i:8, episode_len:24
batch i:9, episode_len:22
batch i:10, episode_len:24
batch i:11, episode_len:20
batch i:12, episode_len:19
