batch i:117, episode_len:34
batch i:118, episode_len:40
batch i:119, episode_len:42
batch i:120, episode_len:42
batch i:121, episode_len:32
batch i:122, episode_len:28
batch i:123, episode_len:27
batch i:124, episode_len:28
batch i:125, episode_len:23
batch i:126, episode_len:26
batch i:127, episode_len:29
batch i:128, episode_len:38
batch i:129, episode_len:31
batch i:130, episode_len:44
batch i:131, episode_len:27
batch i:132, episode_len:26
batch i:133, episode_len:35
batch i:134, episode_len:32
batch i:135, episode_len:38
batch i:136, episode_len:31
batch i:137, episode_len:25
batch i:138, episode_len:33
batch i:139, episode_len:33
batch i:140, episode_len:26
batch i:141, episode_len:38
batch i:142, episode_len:37
batch i:143, episode_len:37
batch i:144, episode_len:27
batch i:145, episode_len:30
batch i:146, episode_len:42
batch i:147, episode_len:26
batch i:148, episode_len:26
batch i:149, episode_len:23
batch i:150, episode_len:27
batch i:151, episode_len:26
batch i:152, episode_len:23
batch i:153, episode_len:48
batch i:154, episode_len:32
batch i:155, episode_len:28
batch i:156, episode_len:23
batch i:157, episode_len:29
batch i:158, episode_len:21
batch i:159, episode_len:30
batch i:160, episode_len:17
batch i:161, episode_len:19
batch i:162, episode_len:21
batch i:163, episode_len:29
batch i:164, episode_len:22
batch i:165, episode_len:26
batch i:166, episode_len:27
batch i:167, episode_len:32
batch i:168, episode_len:17
batch i:169, episode_len:29
batch i:170, episode_len:24
batch i:171, episode_len:25
batch i:172, episode_len:41
batch i:173, episode_len:35
batch i:174, episode_len:35
batch i:175, episode_len:34
batch i:176, episode_len:30
batch i:177, episode_len:29
batch i:178, episode_len:18
batch i:179, episode_len:26
batch i:180, episode_len:40
batch i:181, episode_len:34
batch i:182, episode_len:19
batch i:183, episode_len:29
batch i:184, episode_len:26
batch i:185, episode_len:43
batch i:186, episode_len:28
batch i:187, episode_len:26
batch i:188, episode_len:31
batch i:189, episode_len:16
batch i:190, episode_len:23
batch i:191, episode_len:37
batch i:192, episode_len:28
batch i:193, episode_len:33
batch i:194, episode_len:15
batch i:195, episode_len:16
batch i:196, episode_len:29
batch i:197, episode_len:50
batch i:198, episode_len:27
batch i:199, episode_len:11
batch i:200, episode_len:36
batch i:201, episode_len:22
batch i:202, episode_len:27
batch i:203, episode_len:32
batch i:204, episode_len:27
batch i:205, episode_len:26
batch i:206, episode_len:18
batch i:207, episode_len:24
batch i:208, episode_len:13
batch i:209, episode_len:53
batch i:210, episode_len:21
batch i:211, episode_len:40
batch i:212, episode_len:36
batch i:213, episode_len:25
batch i:214, episode_len:32
batch i:215, episode_len:42
batch i:216, episode_len:26
batch i:217, episode_len:24
batch i:218, episode_len:42
batch i:219, episode_len:25
batch i:220, episode_len:18
batch i:221, episode_len:30
batch i:222, episode_len:28
batch i:223, episode_len:21
batch i:224, episode_len:24
batch i:225, episode_len:24
batch i:226, episode_len:23
batch i:227, episode_len:21
batch i:228, episode_len:48
batch i:229, episode_len:25
batch i:230, episode_len:22
batch i:231, episode_len:28
batch i:232, episode_len:22
batch i:233, episode_len:30
batch i:234, episode_len:22
batch i:235, episode_len:21
batch i:236, episode_len:13
batch i:237, episode_len:22
batch i:238, episode_len:20
batch i:239, episode_len:41
batch i:240, episode_len:19
batch i:241, episode_len:26
batch i:242, episode_len:42
batch i:243, episode_len:35
batch i:244, episode_len:25
batch i:245, episode_len:39
batch i:246, episode_len:34
batch i:247, episode_len:40
batch i:248, episode_len:11
batch i:249, episode_len:40
batch i:250, episode_len:35
batch i:251, episode_len:23
batch i:252, episode_len:17
batch i:253, episode_len:33
batch i:254, episode_len:36
batch i:255, episode_len:24
batch i:256, episode_len:39
batch i:257, episode_len:23
batch i:258, episode_len:19
batch i:259, episode_len:21
batch i:260, episode_len:17
batch i:261, episode_len:23
batch i:262, episode_len:12
batch i:263, episode_len:27
batch i:264, episode_len:21
batch i:265, episode_len:36
batch i:266, episode_len:27
batch i:267, episode_len:27
batch i:268, episode_len:15
batch i:269, episode_len:17
batch i:270, episode_len:31
batch i:271, episode_len:19
batch i:272, episode_len:17
batch i:273, episode_len:22
batch i:274, episode_len:41
batch i:275, episode_len:33
batch i:276, episode_len:34
batch i:277, episode_len:13
batch i:278, episode_len:29
batch i:279, episode_len:25
batch i:280, episode_len:33
batch i:281, episode_len:14
batch i:282, episode_len:23
batch i:283, episode_len:19
batch i:284, episode_len:14
batch i:285, episode_len:11
batch i:286, episode_len:25
batch i:287, episode_len:20
batch i:288, episode_len:19
batch i:289, episode_len:42
batch i:290, episode_len:10
batch i:291, episode_len:32
batch i:292, episode_len:30
batch i:293, episode_len:16
batch i:294, episode_len:29
batch i:295, episode_len:15
batch i:296, episode_len:23
batch i:297, episode_len:27
batch i:298, episode_len:17
batch i:299, episode_len:32
batch i:300, episode_len:14
batch i:301, episode_len:25
batch i:302, episode_len:20
batch i:303, episode_len:31
batch i:304, episode_len:19
batch i:305, episode_len:32
batch i:306, episode_len:35
batch i:307, episode_len:17
batch i:308, episode_len:29
batch i:309, episode_len:25
batch i:310, episode_len:18
batch i:311, episode_len:24
batch i:312, episode_len:27
batch i:313, episode_len:15
batch i:314, episode_len:12
batch i:315, episode_len:29
batch i:316, episode_len:16
batch i:317, episode_len:31
batch i:318, episode_len:23
batch i:319, episode_len:30
batch i:320, episode_len:27
batch i:321, episode_len:41
batch i:322, episode_len:24
batch i:323, episode_len:33
batch i:324, episode_len:18
batch i:325, episode_len:17
batch i:326, episode_len:12
batch i:327, episode_len:14
batch i:328, episode_len:25
batch i:329, episode_len:26
batch i:330, episode_len:17
batch i:331, episode_len:19
batch i:332, episode_len:28
batch i:333, episode_len:18
batch i:334, episode_len:20
batch i:335, episode_len:23
batch i:336, episode_len:15
batch i:337, episode_len:25
batch i:338, episode_len:20
batch i:339, episode_len:17
batch i:340, episode_len:26
batch i:341, episode_len:24
batch i:342, episode_len:18
batch i:343, episode_len:24
batch i:344, episode_len:15
batch i:345, episode_len:21
batch i:346, episode_len:30
batch i:347, episode_len:19
batch i:348, episode_len:29
batch i:349, episode_len:12
batch i:350, episode_len:20
batch i:351, episode_len:23
batch i:352, episode_len:14
batch i:353, episode_len:24
batch i:354, episode_len:16
batch i:355, episode_len:16
batch i:356, episode_len:12
batch i:357, episode_len:24
batch i:358, episode_len:22
batch i:359, episode_len:12
batch i:360, episode_len:19
batch i:361, episode_len:11
batch i:362, episode_len:19
batch i:363, episode_len:24
batch i:364, episode_len:22
batch i:365, episode_len:22
batch i:366, episode_len:17
batch i:367, episode_len:18
batch i:368, episode_len:12
batch i:369, episode_len:34
batch i:370, episode_len:38
batch i:371, episode_len:15
batch i:372, episode_len:19
batch i:373, episode_len:20
batch i:374, episode_len:31
batch i:375, episode_len:20
batch i:376, episode_len:14
batch i:377, episode_len:20
batch i:378, episode_len:16
batch i:379, episode_len:34
batch i:380, episode_len:14
batch i:381, episode_len:33
batch i:382, episode_len:29
batch i:383, episode_len:11
batch i:384, episode_len:20
batch i:385, episode_len:26
batch i:386, episode_len:26
batch i:387, episode_len:12
batch i:388, episode_len:13
batch i:389, episode_len:17
batch i:390, episode_len:11
batch i:391, episode_len:21
batch i:392, episode_len:25
batch i:393, episode_len:16
batch i:394, episode_len:13
batch i:395, episode_len:20
batch i:396, episode_len:13
batch i:397, episode_len:21
batch i:398, episode_len:12
batch i:399, episode_len:22
batch i:400, episode_len:14
batch i:401, episode_len:15
batch i:402, episode_len:30
batch i:403, episode_len:18
batch i:404, episode_len:21
batch i:405, episode_len:20
batch i:406, episode_len:10
batch i:407, episode_len:21
batch i:408, episode_len:17
batch i:409, episode_len:13
batch i:410, episode_len:27
batch i:411, episode_len:21
batch i:412, episode_len:13
batch i:413, episode_len:18
batch i:414, episode_len:23
batch i:415, episode_len:30
batch i:416, episode_len:15
batch i:417, episode_len:20
batch i:418, episode_len:21
batch i:419, episode_len:20
batch i:420, episode_len:33
batch i:421, episode_len:16
batch i:422, episode_len:10
batch i:423, episode_len:11
batch i:424, episode_len:20
batch i:425, episode_len:15
batch i:426, episode_len:22
batch i:427, episode_len:16
batch i:428, episode_len:20
batch i:429, episode_len:19
batch i:430, episode_len:16
batch i:431, episode_len:12
batch i:432, episode_len:19
batch i:433, episode_len:23
batch i:434, episode_len:14
batch i:435, episode_len:14
batch i:436, episode_len:12
batch i:437, episode_len:25
batch i:438, episode_len:16
batch i:439, episode_len:12
batch i:440, episode_len:16
batch i:441, episode_len:14
batch i:442, episode_len:20
batch i:443, episode_len:20
batch i:444, episode_len:15
batch i:445, episode_len:9
batch i:446, episode_len:12
batch i:447, episode_len:10
batch i:448, episode_len:22
batch i:449, episode_len:33
batch i:450, episode_len:21
batch i:451, episode_len:15
batch i:452, episode_len:28
batch i:453, episode_len:17
batch i:454, episode_len:13
batch i:455, episode_len:22
batch i:456, episode_len:13
batch i:457, episode_len:25
batch i:458, episode_len:13
batch i:459, episode_len:11
batch i:460, episode_len:9
batch i:461, episode_len:18
batch i:462, episode_len:12
batch i:463, episode_len:15
batch i:464, episode_len:20
batch i:465, episode_len:23
batch i:466, episode_len:27
batch i:467, episode_len:18
batch i:468, episode_len:24
batch i:469, episode_len:15
batch i:470, episode_len:10
batch i:471, episode_len:9
batch i:472, episode_len:11
batch i:473, episode_len:15
batch i:474, episode_len:21
batch i:475, episode_len:16
batch i:476, episode_len:16
batch i:477, episode_len:17
batch i:478, episode_len:26
batch i:479, episode_len:16
batch i:480, episode_len:12
batch i:481, episode_len:13
batch i:482, episode_len:9
batch i:483, episode_len:15
batch i:484, episode_len:14
batch i:485, episode_len:21
batch i:486, episode_len:16
batch i:487, episode_len:11
batch i:488, episode_len:25
batch i:489, episode_len:14
batch i:490, episode_len:18
batch i:491, episode_len:20
batch i:492, episode_len:13
batch i:493, episode_len:9
batch i:494, episode_len:18
batch i:495, episode_len:19
batch i:496, episode_len:19
batch i:497, episode_len:11
batch i:498, episode_len:11
batch i:499, episode_len:16
batch i:500, episode_len:14
batch i:501, episode_len:10
batch i:502, episode_len:13
batch i:503, episode_len:25
batch i:504, episode_len:14
batch i:505, episode_len:13
batch i:506, episode_len:12
batch i:507, episode_len:22
batch i:508, episode_len:14
batch i:509, episode_len:11
batch i:510, episode_len:58
batch i:511, episode_len:15
batch i:512, episode_len:16
batch i:513, episode_len:16
batch i:514, episode_len:19
batch i:515, episode_len:15
batch i:516, episode_len:18
batch i:517, episode_len:17
batch i:518, episode_len:24
batch i:519, episode_len:10
batch i:520, episode_len:12
batch i:521, episode_len:19
batch i:522, episode_len:14
batch i:523, episode_len:11
batch i:524, episode_len:19
batch i:525, episode_len:10
batch i:526, episode_len:11
batch i:527, episode_len:11
batch i:528, episode_len:11
batch i:529, episode_len:17
batch i:530, episode_len:10
batch i:531, episode_len:14
batch i:532, episode_len:18
batch i:533, episode_len:9
batch i:534, episode_len:9
batch i:535, episode_len:14
batch i:536, episode_len:16
batch i:537, episode_len:16
batch i:538, episode_len:21
