kl:0.02202,lr_multiplier:0.444,loss:4.37148380279541,entropy:3.7737069129943848,explained_var_old:0.351,explained_var_new:0.423
kl:0.02961,lr_multiplier:0.444,loss:4.257159233093262,entropy:3.717432737350464,explained_var_old:0.364,explained_var_new:0.456
kl:0.02607,lr_multiplier:0.444,loss:4.364398956298828,entropy:3.75026535987854,explained_var_old:0.290,explained_var_new:0.375
kl:0.01774,lr_multiplier:0.444,loss:4.302988529205322,entropy:3.7484898567199707,explained_var_old:0.321,explained_var_new:0.413
kl:0.02285,lr_multiplier:0.444,loss:4.216073989868164,entropy:3.6558384895324707,explained_var_old:0.374,explained_var_new:0.449
kl:0.02920,lr_multiplier:0.444,loss:4.257606029510498,entropy:3.6856727600097656,explained_var_old:0.314,explained_var_new:0.420
kl:0.02264,lr_multiplier:0.444,loss:4.200934410095215,entropy:3.649637222290039,explained_var_old:0.349,explained_var_new:0.462
kl:0.02612,lr_multiplier:0.444,loss:4.184186935424805,entropy:3.6287970542907715,explained_var_old:0.354,explained_var_new:0.458
kl:0.03354,lr_multiplier:0.444,loss:4.279254913330078,entropy:3.6283881664276123,explained_var_old:0.186,explained_var_new:0.316
kl:0.02684,lr_multiplier:0.444,loss:4.2205729484558105,entropy:3.606201171875,explained_var_old:0.274,explained_var_new:0.362
kl:0.03649,lr_multiplier:0.444,loss:4.2405290603637695,entropy:3.611826181411743,explained_var_old:0.250,explained_var_new:0.345
kl:0.03533,lr_multiplier:0.444,loss:4.080828666687012,entropy:3.4912142753601074,explained_var_old:0.338,explained_var_new:0.426
kl:0.04685,lr_multiplier:0.296,loss:4.192513465881348,entropy:3.5720694065093994,explained_var_old:0.221,explained_var_new:0.339
kl:0.02130,lr_multiplier:0.296,loss:4.1629557609558105,entropy:3.6004841327667236,explained_var_old:0.331,explained_var_new:0.416
kl:0.01933,lr_multiplier:0.296,loss:4.215235233306885,entropy:3.563821315765381,explained_var_old:0.297,explained_var_new:0.346
kl:0.01722,lr_multiplier:0.296,loss:4.087540626525879,entropy:3.530210256576538,explained_var_old:0.352,explained_var_new:0.424
kl:0.01480,lr_multiplier:0.296,loss:4.212737560272217,entropy:3.5403923988342285,explained_var_old:0.285,explained_var_new:0.360
kl:0.02031,lr_multiplier:0.296,loss:4.129755973815918,entropy:3.5004100799560547,explained_var_old:0.342,explained_var_new:0.415
kl:0.01670,lr_multiplier:0.296,loss:4.101315498352051,entropy:3.5942726135253906,explained_var_old:0.390,explained_var_new:0.454
kl:0.01528,lr_multiplier:0.296,loss:4.100353717803955,entropy:3.5089192390441895,explained_var_old:0.319,explained_var_new:0.401
kl:0.01814,lr_multiplier:0.296,loss:4.068473815917969,entropy:3.4713470935821533,explained_var_old:0.375,explained_var_new:0.433
kl:0.02308,lr_multiplier:0.296,loss:4.065151691436768,entropy:3.4891233444213867,explained_var_old:0.342,explained_var_new:0.414
kl:0.01464,lr_multiplier:0.296,loss:4.063166618347168,entropy:3.4981460571289062,explained_var_old:0.355,explained_var_new:0.429
